Time - Fc (N),Amplitude - Fc (N)
2.646,-0.915849
2.648,-0.91337
2.65,-0.910399
2.652,-0.906935
2.654,-0.902982
2.656,-0.89854
2.658,-0.893612
2.66,-0.888199
2.662,-0.882305
2.664,-0.875931
2.666,-0.869081
2.668,-0.861759
2.67,-0.853967
2.672,-0.84571
2.674,-0.836991
2.676,-0.827816
2.678,-0.818188
2.68,-0.808112
2.682,-0.797594
2.684,-0.786639
2.686,-0.775252
2.688,-0.76344
2.69,-0.751207
2.692,-0.738562
2.694,-0.725509
2.696,-0.712056
2.698,-0.698211
2.7,-0.683979
2.702,-0.66937
2.704,-0.654389
2.706,-0.639046
2.708,-0.623349
2.71,-0.607305
2.712,-0.590923
2.714,-0.574212
2.716,-0.557181
2.718,-0.539839
2.72,-0.522196
2.722,-0.50426
2.724,-0.486041
2.726,-0.46755
2.728,-0.448796
2.73,-0.42979
2.732,-0.410541
2.734,-0.391061
2.736,-0.371359
2.738,-0.351447
2.74,-0.331335
2.742,-0.311035
2.744,-0.290557
2.746,-0.269913
2.748,-0.249115
2.75,-0.228173
2.752,-0.207099
2.754,-0.185906
2.756,-0.164604
2.758,-0.143205
2.76,-0.121722
2.762,-0.100166
2.764,-0.0785496
2.766,-0.0568846
2.768,-0.0351831
2.77,-0.0134573
2.772,0.00828051
2.774,0.0300182
2.776,0.0517436
2.778,0.0734443
2.78,0.0951082
2.782,0.116723
2.784,0.138276
2.786,0.159756
2.788,0.18115
2.79,0.202446
2.792,0.223632
2.794,0.244695
2.796,0.265625
2.798,0.286408
2.8,0.307033
2.802,0.327487
2.804,0.347761
2.806,0.36784
2.808,0.387714
2.81,0.407372
2.812,0.426802
2.814,0.445993
2.816,0.464933
2.818,0.483611
2.82,0.502018
2.822,0.520141
2.824,0.53797
2.826,0.555495
2.828,0.572706
2.83,0.589592
2.832,0.606143
2.834,0.62235
2.836,0.638203
2.838,0.653692
2.84,0.668809
2.842,0.683544
2.844,0.697888
2.846,0.711833
2.848,0.725371
2.85,0.738493
2.852,0.751191
2.854,0.763458
2.856,0.775286
2.858,0.786668
2.86,0.797597
2.862,0.808066
2.864,0.818068
2.866,0.827599
2.868,0.836651
2.87,0.845219
2.872,0.853297
2.874,0.860881
2.876,0.867965
2.878,0.874545
2.88,0.880617
2.882,0.886177
2.884,0.89122
2.886,0.895745
2.888,0.899747
2.89,0.903223
2.892,0.906172
2.894,0.908591
2.896,0.910478
2.898,0.911832
2.9,0.912651
2.902,0.912935
2.904,0.912682
2.906,0.911893
2.908,0.910567
2.91,0.908705
